Feedback_ID,Employee_ID,City,Department,Date,Engagement_Score,eNPS_Bucket,Free_Text
76,5923,Houston,Customer Service,2017-12-09,1,Detractor,Delivery delays caused frustration for both team and customers.
77,5209,Houston,Operations,2017-12-09,8,Passive,Workload is manageable but processes could be faster.
78,2041,Houston,Sales,2017-12-09,8,Passive,"Some minor issues with systems, but we handled them."
79,8638,Houston,Customer Service,2014-11-26,4,Detractor,Delivery delays caused frustration for both team and customers.
80,9998,Decatur,HR,2016-06-12,10,Promoter,Sales were strong this week and operations ran smoothly.
81,2798,Decatur,HR,2016-06-12,1,Detractor,We had frequent stockouts and customers were unhappy.
82,4604,San Francisco,HR,2014-10-12,7,Passive,"Some minor issues with systems, but we handled them."
83,2658,San Francisco,Customer Service,2014-10-12,3,Detractor,Delivery delays caused frustration for both team and customers.
84,1205,Durham,Operations,2015-09-03,8,Passive,Workload is manageable but processes could be faster.
85,7608,Chicago,Sales,2017-11-13,6,Detractor,We had frequent stockouts and customers were unhappy.
86,6720,Columbia,Sales,2017-05-28,6,Detractor,Too much workload and not enough staff during peak hours.
87,1182,Rochester,Customer Service,2017-10-26,3,Detractor,Delivery delays caused frustration for both team and customers.
88,9292,Rochester,Customer Service,2017-10-26,5,Detractor,Too much workload and not enough staff during peak hours.
89,4049,Houston,Warehouse,2016-04-05,2,Detractor,We had frequent stockouts and customers were unhappy.
90,9111,Los Angeles,Warehouse,2016-09-17,8,Passive,"Some minor issues with systems, but we handled them."
91,3563,Los Angeles,Sales,2016-09-17,3,Detractor,We had frequent stockouts and customers were unhappy.
92,2840,Los Angeles,Sales,2016-09-17,4,Detractor,Too much workload and not enough staff during peak hours.
93,5167,Minneapolis,Sales,2015-01-31,1,Detractor,Too much workload and not enough staff during peak hours.
94,5978,Minneapolis,Operations,2015-01-31,2,Detractor,Delivery delays caused frustration for both team and customers.
95,1862,Minneapolis,Sales,2015-01-31,8,Passive,Workload is manageable but processes could be faster.
96,8711,Portland,Customer Service,2017-11-06,5,Detractor,Delivery delays caused frustration for both team and customers.
97,8722,New York City,Sales,2017-11-09,2,Detractor,We had frequent stockouts and customers were unhappy.
98,9104,San Francisco,Sales,2017-06-17,4,Detractor,We had frequent stockouts and customers were unhappy.
99,1031,Saint Paul,Operations,2016-09-06,5,Detractor,Delivery delays caused frustration for both team and customers.
100,9303,Chicago,HR,2016-08-29,6,Detractor,Delivery delays caused frustration for both team and customers.
101,2874,Chicago,Operations,2016-08-29,10,Promoter,Sales were strong this week and operations ran smoothly.
102,7718,Chicago,Sales,2016-08-29,2,Detractor,Too much workload and not enough staff during peak hours.
103,6526,Rochester,HR,2016-12-01,4,Detractor,We had frequent stockouts and customers were unhappy.
104,2292,Aurora,Sales,2015-11-13,8,Passive,"Overall okay week, nothing special to report."
105,5553,Aurora,HR,2015-11-13,1,Detractor,Too much workload and not enough staff during peak hours.
106,6164,Aurora,Customer Service,2015-11-13,5,Detractor,Delivery delays caused frustration for both team and customers.
107,8180,Charlotte,Operations,2017-11-23,8,Passive,Workload is manageable but processes could be faster.
108,6390,Charlotte,Warehouse,2017-11-23,2,Detractor,Delivery delays caused frustration for both team and customers.
109,8710,Charlotte,Operations,2017-11-23,2,Detractor,Delivery delays caused frustration for both team and customers.
110,9601,Orland Park,HR,2015-10-15,7,Passive,Workload is manageable but processes could be faster.
111,3678,New York City,Customer Service,2017-12-25,9,Promoter,Teamwork was great and customers seemed satisfied.
112,4511,Urbandale,HR,2016-11-03,3,Detractor,Delivery delays caused frustration for both team and customers.
113,4376,Urbandale,Operations,2016-11-03,4,Detractor,Delivery delays caused frustration for both team and customers.
114,7120,Columbus,Warehouse,2014-08-25,1,Detractor,We had frequent stockouts and customers were unhappy.
115,9019,Columbus,Customer Service,2014-08-25,2,Detractor,Too much workload and not enough staff during peak hours.
116,8445,Columbus,Warehouse,2014-08-25,3,Detractor,We had frequent stockouts and customers were unhappy.
117,9951,Columbus,Warehouse,2014-08-25,7,Passive,Workload is manageable but processes could be faster.
118,7114,Seattle,Warehouse,2015-03-02,2,Detractor,Too much workload and not enough staff during peak hours.
119,7378,Bristol,Operations,2015-04-05,6,Detractor,Too much workload and not enough staff during peak hours.
120,8059,Wilmington,HR,2016-06-12,5,Detractor,We had frequent stockouts and customers were unhappy.
121,4634,Wilmington,Customer Service,2016-06-12,2,Detractor,We had frequent stockouts and customers were unhappy.
122,8080,Wilmington,Operations,2016-06-12,3,Detractor,Delivery delays caused frustration for both team and customers.
123,7951,Wilmington,Customer Service,2016-06-12,7,Passive,"Overall okay week, nothing special to report."
124,8593,Wilmington,Operations,2016-06-12,5,Detractor,We had frequent stockouts and customers were unhappy.
125,3577,Houston,Customer Service,2014-12-26,8,Passive,Workload is manageable but processes could be faster.
126,3201,Bloomington,Warehouse,2014-09-20,7,Passive,Workload is manageable but processes could be faster.
127,4997,Phoenix,HR,2017-11-05,3,Detractor,Delivery delays caused frustration for both team and customers.
128,2756,Phoenix,HR,2017-11-05,4,Detractor,Too much workload and not enough staff during peak hours.
129,8368,Los Angeles,Sales,2016-11-06,1,Detractor,Too much workload and not enough staff during peak hours.
130,4810,Los Angeles,Sales,2016-11-06,4,Detractor,Too much workload and not enough staff during peak hours.
131,6183,Columbus,Warehouse,2017-02-02,9,Promoter,Good communication from management and clear goals.
132,4395,Columbus,Operations,2017-02-02,2,Detractor,Too much workload and not enough staff during peak hours.
133,8120,Columbus,Sales,2017-02-02,5,Detractor,Delivery delays caused frustration for both team and customers.
134,9255,Roseville,Warehouse,2016-10-13,7,Passive,Workload is manageable but processes could be faster.
135,1669,Roseville,Warehouse,2016-10-13,5,Detractor,Delivery delays caused frustration for both team and customers.
136,9909,Roseville,HR,2016-10-13,5,Detractor,Delivery delays caused frustration for both team and customers.
137,2204,Roseville,Sales,2016-10-13,1,Detractor,Too much workload and not enough staff during peak hours.
138,8044,Roseville,HR,2016-10-13,10,Promoter,Teamwork was great and customers seemed satisfied.
139,1710,Roseville,Warehouse,2016-10-13,8,Passive,"Some minor issues with systems, but we handled them."
140,3425,Roseville,HR,2016-10-13,3,Detractor,We had frequent stockouts and customers were unhappy.
141,2160,Philadelphia,Customer Service,2016-09-05,10,Promoter,Good communication from management and clear goals.
142,3759,San Francisco,Sales,2017-09-18,4,Detractor,Too much workload and not enough staff during peak hours.
143,3438,San Francisco,Sales,2017-09-18,5,Detractor,We had frequent stockouts and customers were unhappy.
144,9661,San Francisco,Sales,2017-09-18,4,Detractor,Too much workload and not enough staff during peak hours.
145,9780,Independence,Customer Service,2017-12-22,5,Detractor,Delivery delays caused frustration for both team and customers.
146,5142,Pasadena,Warehouse,2015-09-07,2,Detractor,Delivery delays caused frustration for both team and customers.
147,5100,Newark,HR,2014-10-22,9,Promoter,Sales were strong this week and operations ran smoothly.
148,4714,Franklin,Customer Service,2016-12-05,3,Detractor,Too much workload and not enough staff during peak hours.
149,9152,Franklin,Sales,2016-12-05,5,Detractor,We had frequent stockouts and customers were unhappy.
150,3253,Franklin,Sales,2016-12-05,9,Promoter,Teamwork was great and customers seemed satisfied.
151,9777,Franklin,HR,2016-12-05,6,Detractor,Too much workload and not enough staff during peak hours.
152,5532,Scottsdale,Operations,2016-03-13,3,Detractor,Too much workload and not enough staff during peak hours.
153,9044,Scottsdale,Warehouse,2016-03-13,2,Detractor,Too much workload and not enough staff during peak hours.
154,1833,San Jose,Customer Service,2015-05-31,9,Promoter,Good communication from management and clear goals.
155,4702,San Jose,Operations,2015-05-31,4,Detractor,Too much workload and not enough staff during peak hours.
156,9869,San Jose,Customer Service,2015-05-31,8,Passive,"Overall okay week, nothing special to report."
157,4051,Seattle,Operations,2015-05-28,8,Passive,Workload is manageable but processes could be faster.
158,5134,Seattle,HR,2014-03-01,7,Passive,"Overall okay week, nothing special to report."
159,8006,Edmond,Customer Service,2016-11-20,1,Detractor,We had frequent stockouts and customers were unhappy.
160,9536,Edmond,HR,2016-11-20,10,Promoter,Teamwork was great and customers seemed satisfied.
161,1015,Los Angeles,Customer Service,2016-05-11,1,Detractor,Too much workload and not enough staff during peak hours.
162,5545,Philadelphia,Customer Service,2015-12-28,2,Detractor,Too much workload and not enough staff during peak hours.
163,5587,Carlsbad,Sales,2016-11-16,6,Detractor,Too much workload and not enough staff during peak hours.
164,6879,Seattle,HR,2016-11-07,4,Detractor,Too much workload and not enough staff during peak hours.
165,2541,San Antonio,HR,2014-09-08,2,Detractor,Delivery delays caused frustration for both team and customers.
166,4903,San Antonio,Customer Service,2014-09-08,2,Detractor,Delivery delays caused frustration for both team and customers.
167,6674,San Antonio,HR,2014-09-08,6,Detractor,Delivery delays caused frustration for both team and customers.
168,1476,San Antonio,Customer Service,2014-09-08,7,Passive,"Some minor issues with systems, but we handled them."
169,7265,San Antonio,Operations,2014-09-08,7,Passive,"Overall okay week, nothing special to report."
170,5865,San Antonio,Customer Service,2014-09-08,2,Detractor,Delivery delays caused frustration for both team and customers.
171,8841,San Antonio,Operations,2014-09-08,1,Detractor,We had frequent stockouts and customers were unhappy.
172,6743,Los Angeles,Sales,2014-08-05,9,Promoter,Sales were strong this week and operations ran smoothly.
173,1123,Los Angeles,Sales,2014-08-05,8,Passive,Workload is manageable but processes could be faster.
174,2396,Los Angeles,Sales,2014-08-05,3,Detractor,Delivery delays caused frustration for both team and customers.
175,2174,Chicago,Customer Service,2014-09-14,9,Promoter,Teamwork was great and customers seemed satisfied.
176,5982,Chicago,Warehouse,2014-09-14,5,Detractor,We had frequent stockouts and customers were unhappy.
177,6725,Houston,Sales,2017-04-21,2,Detractor,Delivery delays caused frustration for both team and customers.
178,1503,Newark,HR,2015-11-21,10,Promoter,Teamwork was great and customers seemed satisfied.
179,1612,Newark,Operations,2015-11-21,7,Passive,Workload is manageable but processes could be faster.
180,1988,New York City,Warehouse,2015-12-15,3,Detractor,Too much workload and not enough staff during peak hours.
181,2987,Decatur,Operations,2014-12-05,4,Detractor,Delivery delays caused frustration for both team and customers.
182,6841,Decatur,Warehouse,2014-12-05,9,Promoter,Good communication from management and clear goals.
183,6501,Monroe,Customer Service,2014-11-19,5,Detractor,We had frequent stockouts and customers were unhappy.
184,2235,Monroe,Sales,2014-11-19,5,Detractor,Delivery delays caused frustration for both team and customers.
185,7631,Monroe,Operations,2014-11-19,9,Promoter,Good communication from management and clear goals.
186,8427,Fairfield,Customer Service,2016-11-28,10,Promoter,Teamwork was great and customers seemed satisfied.
187,8049,Los Angeles,Operations,2014-08-26,7,Passive,Workload is manageable but processes could be faster.
188,5501,Grand Prairie,Sales,2016-07-16,6,Detractor,We had frequent stockouts and customers were unhappy.
189,8528,Grand Prairie,Operations,2016-07-16,9,Promoter,Sales were strong this week and operations ran smoothly.
190,1459,New York City,HR,2015-10-12,9,Promoter,Sales were strong this week and operations ran smoothly.
191,1675,New York City,HR,2015-10-12,7,Passive,"Overall okay week, nothing special to report."
192,7052,New York City,Customer Service,2015-10-12,6,Detractor,Delivery delays caused frustration for both team and customers.
193,9972,New York City,Customer Service,2015-10-12,5,Detractor,We had frequent stockouts and customers were unhappy.
194,2508,New York City,Sales,2015-10-12,3,Detractor,Delivery delays caused frustration for both team and customers.
195,1851,Redlands,Sales,2015-10-31,1,Detractor,We had frequent stockouts and customers were unhappy.
196,1384,Hamilton,Customer Service,2014-03-21,7,Passive,Workload is manageable but processes could be faster.
197,6489,Hamilton,Sales,2014-03-21,5,Detractor,We had frequent stockouts and customers were unhappy.
198,2727,Westfield,HR,2017-11-06,3,Detractor,We had frequent stockouts and customers were unhappy.
199,4496,Philadelphia,HR,2017-07-06,10,Promoter,Good communication from management and clear goals.
200,2441,Philadelphia,Customer Service,2017-07-06,8,Passive,"Overall okay week, nothing special to report."
201,5884,Akron,Sales,2017-06-24,2,Detractor,We had frequent stockouts and customers were unhappy.
202,2202,Denver,Operations,2014-08-03,4,Detractor,We had frequent stockouts and customers were unhappy.
203,9552,Denver,HR,2014-08-03,10,Promoter,Teamwork was great and customers seemed satisfied.
204,3995,Dallas,Customer Service,2017-12-17,3,Detractor,We had frequent stockouts and customers were unhappy.
205,9915,Franklin,Operations,2017-06-03,8,Passive,"Some minor issues with systems, but we handled them."
206,4322,Whittier,HR,2017-12-09,3,Detractor,Delivery delays caused frustration for both team and customers.
207,5643,Saginaw,Customer Service,2017-12-01,10,Promoter,Sales were strong this week and operations ran smoothly.
208,7810,Saginaw,Sales,2017-12-01,4,Detractor,Too much workload and not enough staff during peak hours.
209,6050,Saginaw,Warehouse,2017-12-01,3,Detractor,We had frequent stockouts and customers were unhappy.
210,9867,Saginaw,HR,2017-12-01,10,Promoter,Sales were strong this week and operations ran smoothly.
211,3672,Saginaw,Warehouse,2017-12-01,8,Passive,Workload is manageable but processes could be faster.
212,9392,Dallas,Sales,2015-02-09,1,Detractor,We had frequent stockouts and customers were unhappy.
213,7302,Medina,HR,2015-01-02,4,Detractor,We had frequent stockouts and customers were unhappy.
214,9450,Medina,Operations,2015-01-02,1,Detractor,Delivery delays caused frustration for both team and customers.
215,3451,Medina,Warehouse,2015-01-02,7,Passive,"Some minor issues with systems, but we handled them."
216,2592,Medina,Customer Service,2015-01-02,2,Detractor,We had frequent stockouts and customers were unhappy.
217,6045,Medina,Operations,2015-01-02,5,Detractor,Delivery delays caused frustration for both team and customers.
218,6216,Los Angeles,Sales,2016-10-28,3,Detractor,We had frequent stockouts and customers were unhappy.
219,3314,Los Angeles,Customer Service,2016-10-28,7,Passive,"Overall okay week, nothing special to report."
220,7934,Dublin,Warehouse,2015-12-24,2,Detractor,Too much workload and not enough staff during peak hours.
221,6489,Dublin,Operations,2015-12-24,3,Detractor,Delivery delays caused frustration for both team and customers.
222,3279,Dublin,HR,2015-12-24,8,Passive,Workload is manageable but processes could be faster.
223,6096,Dublin,HR,2015-12-24,8,Passive,"Overall okay week, nothing special to report."
224,9241,Dublin,Operations,2015-12-24,9,Promoter,Good communication from management and clear goals.
225,1254,Dublin,Operations,2015-12-24,1,Detractor,Delivery delays caused frustration for both team and customers.
226,9346,Detroit,Warehouse,2015-08-09,8,Passive,"Some minor issues with systems, but we handled them."
227,2172,Detroit,Customer Service,2015-08-09,5,Detractor,We had frequent stockouts and customers were unhappy.
228,6300,Detroit,Operations,2015-08-09,2,Detractor,Too much workload and not enough staff during peak hours.
229,2456,Columbia,HR,2015-02-28,3,Detractor,We had frequent stockouts and customers were unhappy.
230,7749,Columbia,HR,2015-02-28,8,Passive,"Some minor issues with systems, but we handled them."
231,3796,Charlotte,Sales,2014-09-13,4,Detractor,We had frequent stockouts and customers were unhappy.
232,1135,Tampa,Warehouse,2017-04-07,8,Passive,Workload is manageable but processes could be faster.
233,8050,Tampa,HR,2017-04-07,9,Promoter,Sales were strong this week and operations ran smoothly.
234,2416,Tampa,Operations,2017-04-07,1,Detractor,Delivery delays caused frustration for both team and customers.
235,9350,Tampa,Operations,2017-04-07,10,Promoter,Sales were strong this week and operations ran smoothly.
236,3005,Tampa,HR,2017-04-07,2,Detractor,Too much workload and not enough staff during peak hours.
237,4529,Santa Clara,Sales,2017-11-12,8,Passive,"Overall okay week, nothing special to report."
238,4150,Chicago,Sales,2016-06-04,9,Promoter,Sales were strong this week and operations ran smoothly.
239,4774,Chicago,HR,2016-06-04,9,Promoter,Good communication from management and clear goals.
240,1635,Chicago,Customer Service,2016-06-04,3,Detractor,We had frequent stockouts and customers were unhappy.
241,2448,Chicago,Warehouse,2016-06-04,7,Passive,"Some minor issues with systems, but we handled them."
242,8781,Chicago,Customer Service,2016-06-04,4,Detractor,We had frequent stockouts and customers were unhappy.
243,8539,Chicago,Sales,2016-06-04,3,Detractor,Delivery delays caused frustration for both team and customers.
244,3164,Chicago,Operations,2016-06-04,4,Detractor,We had frequent stockouts and customers were unhappy.
245,6913,Lakeville,Operations,2014-06-01,1,Detractor,Delivery delays caused frustration for both team and customers.
246,2746,Lakeville,Warehouse,2014-06-01,1,Detractor,Delivery delays caused frustration for both team and customers.
247,3433,Lakeville,HR,2014-06-01,9,Promoter,Sales were strong this week and operations ran smoothly.
248,9568,Lakeville,Sales,2014-06-01,8,Passive,Workload is manageable but processes could be faster.
249,6789,Lakeville,Warehouse,2014-06-01,6,Detractor,Too much workload and not enough staff during peak hours.
250,1851,San Francisco,Customer Service,2016-12-10,3,Detractor,Too much workload and not enough staff during peak hours.
251,2274,San Diego,HR,2016-09-11,10,Promoter,Teamwork was great and customers seemed satisfied.
252,5299,San Diego,HR,2016-09-11,8,Passive,"Overall okay week, nothing special to report."
253,8149,New York City,Operations,2016-12-10,3,Detractor,Delivery delays caused frustration for both team and customers.
254,9546,New York City,Operations,2016-12-10,3,Detractor,Too much workload and not enough staff during peak hours.
255,6495,Chicago,Sales,2015-11-28,2,Detractor,We had frequent stockouts and customers were unhappy.
256,7776,Chicago,Sales,2015-11-28,5,Detractor,We had frequent stockouts and customers were unhappy.
257,7369,Chicago,Sales,2015-11-28,3,Detractor,Too much workload and not enough staff during peak hours.
258,9046,Chicago,Operations,2015-11-28,4,Detractor,Delivery delays caused frustration for both team and customers.
259,1494,New York City,Sales,2017-12-01,1,Detractor,We had frequent stockouts and customers were unhappy.
260,1827,New York City,HR,2017-12-01,10,Promoter,Teamwork was great and customers seemed satisfied.
261,2361,New York City,Sales,2017-12-01,1,Detractor,Too much workload and not enough staff during peak hours.
262,8789,Pasadena,Warehouse,2017-06-08,9,Promoter,Good communication from management and clear goals.
263,1070,Houston,Operations,2014-09-19,1,Detractor,Delivery delays caused frustration for both team and customers.
264,7364,Houston,Sales,2014-09-19,7,Passive,"Some minor issues with systems, but we handled them."
265,3050,Chicago,Warehouse,2016-06-06,3,Detractor,We had frequent stockouts and customers were unhappy.
266,8013,Brentwood,Warehouse,2015-11-10,6,Detractor,We had frequent stockouts and customers were unhappy.
267,8840,Chapel Hill,Customer Service,2017-06-16,1,Detractor,Delivery delays caused frustration for both team and customers.
268,7843,Morristown,HR,2016-01-22,4,Detractor,We had frequent stockouts and customers were unhappy.
269,9155,Cincinnati,Warehouse,2017-12-09,10,Promoter,Teamwork was great and customers seemed satisfied.
270,5527,Cincinnati,Warehouse,2017-12-09,4,Detractor,Too much workload and not enough staff during peak hours.
271,9972,San Francisco,HR,2017-12-28,2,Detractor,Too much workload and not enough staff during peak hours.
272,8560,San Francisco,Operations,2015-07-30,3,Detractor,We had frequent stockouts and customers were unhappy.
273,6623,San Francisco,Operations,2015-07-30,5,Detractor,Too much workload and not enough staff during peak hours.
274,7320,San Francisco,Sales,2015-07-30,8,Passive,"Some minor issues with systems, but we handled them."
275,6825,Inglewood,HR,2017-09-16,6,Detractor,Too much workload and not enough staff during peak hours.
276,6700,Inglewood,Sales,2017-09-16,3,Detractor,Delivery delays caused frustration for both team and customers.
277,9216,Philadelphia,Customer Service,2017-10-13,8,Passive,"Overall okay week, nothing special to report."
278,8906,Philadelphia,Warehouse,2017-10-13,9,Promoter,Good communication from management and clear goals.
279,8848,Philadelphia,Warehouse,2017-10-13,6,Detractor,Delivery delays caused frustration for both team and customers.
280,9456,Philadelphia,Customer Service,2017-10-13,3,Detractor,Delivery delays caused frustration for both team and customers.
281,8570,Houston,HR,2015-09-26,10,Promoter,Sales were strong this week and operations ran smoothly.
282,3620,Houston,HR,2015-09-26,1,Detractor,We had frequent stockouts and customers were unhappy.
283,5202,Los Angeles,Warehouse,2015-11-02,7,Passive,Workload is manageable but processes could be faster.
284,8221,Portland,HR,2015-09-26,10,Promoter,Good communication from management and clear goals.
285,2151,Portland,Customer Service,2015-09-26,5,Detractor,Delivery delays caused frustration for both team and customers.
286,5232,Portland,Operations,2015-09-26,9,Promoter,Sales were strong this week and operations ran smoothly.
287,2742,Tamarac,HR,2016-12-18,2,Detractor,Delivery delays caused frustration for both team and customers.
288,3197,Tamarac,Warehouse,2016-12-18,4,Detractor,We had frequent stockouts and customers were unhappy.
289,8255,Tamarac,Warehouse,2016-12-18,10,Promoter,Good communication from management and clear goals.
290,4318,Columbus,Sales,2016-11-20,2,Detractor,We had frequent stockouts and customers were unhappy.
291,5862,Columbus,HR,2016-11-20,1,Detractor,We had frequent stockouts and customers were unhappy.
292,8687,Columbus,Warehouse,2016-11-20,7,Passive,"Some minor issues with systems, but we handled them."
293,3256,Columbus,Customer Service,2016-11-20,10,Promoter,Teamwork was great and customers seemed satisfied.
294,6918,Colorado Springs,Customer Service,2014-12-26,1,Detractor,Too much workload and not enough staff during peak hours.
295,1366,Colorado Springs,Warehouse,2014-12-26,3,Detractor,Too much workload and not enough staff during peak hours.
296,9908,Colorado Springs,Operations,2014-12-26,4,Detractor,We had frequent stockouts and customers were unhappy.
297,3568,Colorado Springs,Warehouse,2014-12-26,7,Passive,Workload is manageable but processes could be faster.
