Feedback_ID,Employee_ID,City,Department,Date,Engagement_Score,eNPS_Bucket,Free_Text,Sentiment_Label,Sentiment_Score,Key_Phrases,Topic_Cluster
17,1368,Madison,Customer Service,11/11/2014,9,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
18,8596,West Jordan,Customer Service,5/13/2014,6,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
19,9577,San Francisco,Sales,8/27/2014,6,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
20,5639,San Francisco,HR,8/27/2014,4,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
21,7821,San Francisco,Customer Service,8/27/2014,5,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
22,2083,Fremont,Sales,12/9/2016,7,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
23,7423,Fremont,HR,12/9/2016,7,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
24,8803,Philadelphia,Operations,7/16/2017,1,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
25,7947,Orem,Operations,9/25/2015,8,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
26,9819,Los Angeles,Warehouse,1/16/2016,6,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
27,4162,Los Angeles,HR,1/16/2016,1,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
28,8494,Philadelphia,Operations,9/17/2015,2,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
29,7531,Philadelphia,Customer Service,9/17/2015,8,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
30,2190,Philadelphia,Operations,9/17/2015,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
31,9710,Philadelphia,Warehouse,9/17/2015,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
32,5377,Philadelphia,HR,9/17/2015,8,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
33,1153,Philadelphia,Sales,9/17/2015,6,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
34,4590,Philadelphia,Operations,9/17/2015,7,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
35,8881,Houston,Customer Service,10/19/2017,8,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
36,9470,Richardson,Sales,12/8/2016,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
37,8007,Richardson,Sales,12/8/2016,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
38,1323,Houston,Customer Service,12/27/2015,3,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
39,4264,Houston,Sales,12/27/2015,9,Promoter,Good communication from management and clear goals.,Positive,0.999860883,"good communication management, management clear goals, good communication",2
40,7371,Houston,HR,12/27/2015,2,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
41,6262,Houston,Sales,12/27/2015,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
42,2700,Naperville,Sales,9/10/2017,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
43,5346,Los Angeles,Customer Service,7/17/2016,4,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
44,3438,Melbourne,Customer Service,9/19/2017,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
45,2187,Eagan,Operations,3/11/2016,7,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
46,2592,Eagan,HR,3/11/2016,9,Promoter,Good communication from management and clear goals.,Positive,0.999860883,"good communication management, management clear goals, good communication",2
47,9045,Westland,Sales,10/20/2014,1,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
48,8085,Dover,HR,6/20/2016,1,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
49,7647,Dover,Operations,6/20/2016,6,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
50,9158,New Albany,Warehouse,4/18/2015,8,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
51,8376,New Albany,Customer Service,4/18/2015,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
52,7005,New Albany,Warehouse,4/18/2015,8,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
53,6146,New Albany,Operations,4/18/2015,6,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
54,5834,New York City,Customer Service,12/11/2016,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
55,5373,New York City,Warehouse,12/11/2016,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
56,5165,Troy,Sales,6/17/2016,8,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
57,7387,Troy,Operations,6/17/2016,5,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
58,3347,Troy,Operations,6/17/2016,9,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
59,8610,Troy,Warehouse,6/17/2016,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
60,5146,Troy,Customer Service,6/17/2016,10,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
61,9124,Troy,HR,6/17/2016,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
62,6240,Troy,Customer Service,6/17/2016,9,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
63,4107,Los Angeles,Operations,11/24/2015,10,Promoter,Sales were strong this week and operations ran smoothly.,Positive,0.999653578,"sales strong week, sales strong, strong week operations",1
64,7274,Los Angeles,Sales,11/24/2015,7,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
65,7147,Los Angeles,Warehouse,11/24/2015,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
66,3210,Los Angeles,HR,11/24/2015,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
67,7338,Chicago,Customer Service,4/30/2015,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
68,3314,Gilbert,Operations,12/5/2014,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
69,5378,Gilbert,HR,12/5/2014,7,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
70,9699,Springfield,Warehouse,6/4/2016,10,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
71,8856,New York City,Sales,9/18/2016,10,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
72,2019,Jackson,Customer Service,9/14/2017,2,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
73,4362,Memphis,Customer Service,4/26/2015,5,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
74,7681,Memphis,Warehouse,4/26/2015,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
75,7364,Memphis,Sales,4/26/2015,7,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
76,5923,Houston,Customer Service,12/9/2017,1,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
77,5209,Houston,Operations,12/9/2017,8,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
78,2041,Houston,Sales,12/9/2017,8,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
79,8638,Houston,Customer Service,11/26/2014,4,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
80,9998,Decatur,HR,6/12/2016,10,Promoter,Sales were strong this week and operations ran smoothly.,Positive,0.999653578,"sales strong week, sales strong, strong week operations",1
81,2798,Decatur,HR,6/12/2016,1,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
82,4604,San Francisco,HR,10/12/2014,7,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
83,2658,San Francisco,Customer Service,10/12/2014,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
84,1205,Durham,Operations,9/3/2015,8,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
85,7608,Chicago,Sales,11/13/2017,6,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
86,6720,Columbia,Sales,5/28/2017,6,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
87,1182,Rochester,Customer Service,10/26/2017,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
88,9292,Rochester,Customer Service,10/26/2017,5,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
89,4049,Houston,Warehouse,4/5/2016,2,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
90,9111,Los Angeles,Warehouse,9/17/2016,8,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
91,3563,Los Angeles,Sales,9/17/2016,3,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
92,2840,Los Angeles,Sales,9/17/2016,4,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
93,5167,Minneapolis,Sales,1/31/2015,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
94,5978,Minneapolis,Operations,1/31/2015,2,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
95,1862,Minneapolis,Sales,1/31/2015,8,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
96,8711,Portland,Customer Service,11/6/2017,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
97,8722,New York City,Sales,11/9/2017,2,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
98,9104,San Francisco,Sales,6/17/2017,4,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
99,1031,Saint Paul,Operations,9/6/2016,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
100,9303,Chicago,HR,8/29/2016,6,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
101,2874,Chicago,Operations,8/29/2016,10,Promoter,Sales were strong this week and operations ran smoothly.,Positive,0.999653578,"sales strong week, sales strong, strong week operations",1
102,7718,Chicago,Sales,8/29/2016,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
103,6526,Rochester,HR,12/1/2016,4,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
104,2292,Aurora,Sales,11/13/2015,8,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
105,5553,Aurora,HR,11/13/2015,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
106,6164,Aurora,Customer Service,11/13/2015,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
107,8180,Charlotte,Operations,11/23/2017,8,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
108,6390,Charlotte,Warehouse,11/23/2017,2,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
109,8710,Charlotte,Operations,11/23/2017,2,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
110,9601,Orland Park,HR,10/15/2015,7,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
111,3678,New York City,Customer Service,12/25/2017,9,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
112,4511,Urbandale,HR,11/3/2016,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
113,4376,Urbandale,Operations,11/3/2016,4,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
114,7120,Columbus,Warehouse,8/25/2014,1,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
115,9019,Columbus,Customer Service,8/25/2014,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
116,8445,Columbus,Warehouse,8/25/2014,3,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
117,9951,Columbus,Warehouse,8/25/2014,7,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
118,7114,Seattle,Warehouse,3/2/2015,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
119,7378,Bristol,Operations,4/5/2015,6,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
120,8059,Wilmington,HR,6/12/2016,5,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
121,4634,Wilmington,Customer Service,6/12/2016,2,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
122,8080,Wilmington,Operations,6/12/2016,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
123,7951,Wilmington,Customer Service,6/12/2016,7,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
124,8593,Wilmington,Operations,6/12/2016,5,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
125,3577,Houston,Customer Service,12/26/2014,8,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
126,3201,Bloomington,Warehouse,9/20/2014,7,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
127,4997,Phoenix,HR,11/5/2017,3,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
128,2756,Phoenix,HR,11/5/2017,4,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
129,8368,Los Angeles,Sales,11/6/2016,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
130,4810,Los Angeles,Sales,11/6/2016,4,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
131,6183,Columbus,Warehouse,2/2/2017,9,Promoter,Good communication from management and clear goals.,Positive,0.999860883,"good communication management, management clear goals, good communication",2
132,4395,Columbus,Operations,2/2/2017,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
133,8120,Columbus,Sales,2/2/2017,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
134,9255,Roseville,Warehouse,10/13/2016,7,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
135,1669,Roseville,Warehouse,10/13/2016,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
136,9909,Roseville,HR,10/13/2016,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
137,2204,Roseville,Sales,10/13/2016,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
138,8044,Roseville,HR,10/13/2016,10,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
139,1710,Roseville,Warehouse,10/13/2016,8,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
140,3425,Roseville,HR,10/13/2016,3,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
141,2160,Philadelphia,Customer Service,9/5/2016,10,Promoter,Good communication from management and clear goals.,Positive,0.999860883,"good communication management, management clear goals, good communication",2
142,3759,San Francisco,Sales,9/18/2017,4,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
143,3438,San Francisco,Sales,9/18/2017,5,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
144,9661,San Francisco,Sales,9/18/2017,4,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
145,9780,Independence,Customer Service,12/22/2017,5,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
146,5142,Pasadena,Warehouse,9/7/2015,2,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
147,5100,Newark,HR,10/22/2014,9,Promoter,Sales were strong this week and operations ran smoothly.,Positive,0.999653578,"sales strong week, sales strong, strong week operations",1
148,4714,Franklin,Customer Service,12/5/2016,3,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
149,9152,Franklin,Sales,12/5/2016,5,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
150,3253,Franklin,Sales,12/5/2016,9,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
151,9777,Franklin,HR,12/5/2016,6,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
152,5532,Scottsdale,Operations,3/13/2016,3,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
153,9044,Scottsdale,Warehouse,3/13/2016,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
154,1833,San Jose,Customer Service,5/31/2015,9,Promoter,Good communication from management and clear goals.,Positive,0.999860883,"good communication management, management clear goals, good communication",2
155,4702,San Jose,Operations,5/31/2015,4,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
156,9869,San Jose,Customer Service,5/31/2015,8,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
157,4051,Seattle,Operations,5/28/2015,8,Passive,Workload is manageable but processes could be faster.,Negative,0.991133273,"manageable processes faster, workload manageable processes, workload manageable",4
158,5134,Seattle,HR,3/1/2014,7,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
159,8006,Edmond,Customer Service,11/20/2016,1,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
160,9536,Edmond,HR,11/20/2016,10,Promoter,Teamwork was great and customers seemed satisfied.,Positive,0.999787986,"teamwork great customers, teamwork great, great customers satisfied",0
161,1015,Los Angeles,Customer Service,5/11/2016,1,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
162,5545,Philadelphia,Customer Service,12/28/2015,2,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
163,5587,Carlsbad,Sales,11/16/2016,6,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
164,6879,Seattle,HR,11/7/2016,4,Detractor,Too much workload and not enough staff during peak hours.,Negative,0.999746025,"workload staff peak, staff peak hours, workload staff",4
165,2541,San Antonio,HR,9/8/2014,2,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
166,4903,San Antonio,Customer Service,9/8/2014,2,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
167,6674,San Antonio,HR,9/8/2014,6,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
168,1476,San Antonio,Customer Service,9/8/2014,7,Passive,"Some minor issues with systems, but we handled them.",Positive,0.992530406,"minor issues systems, issues systems handled, systems handled",2
169,7265,San Antonio,Operations,9/8/2014,7,Passive,"Overall okay week, nothing special to report.",Negative,0.992971599,"overall okay week, week special report, okay week special",1
170,5865,San Antonio,Customer Service,9/8/2014,2,Detractor,Delivery delays caused frustration for both team and customers.,Negative,0.999616027,"delivery delays caused, delays caused frustration, delivery delays",3
171,8841,San Antonio,Operations,9/8/2014,1,Detractor,We had frequent stockouts and customers were unhappy.,Negative,0.999679923,"stockouts customers unhappy, stockouts customers, frequent stockouts customers",0
