City,Region,Category,Sub_Category,Product_Name,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Date,On_Hand,On_Order,Lead_Time_Days,Reorder_Level,Stockout_Flag
Melbourne,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",,,,,2017-09-19,90,89,3,95,1
Eagan,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",,,,,2016-03-11,138,34,2,56,0
Eagan,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,,,,,2016-03-11,46,12,12,35,0
Westland,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,,,,2014-10-20,42,19,6,75,1
Dover,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,,,,2016-06-20,174,24,12,30,0
Dover,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",,,,,2016-06-20,23,83,7,43,1
New Albany,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",,,,,2015-04-18,74,2,14,33,0
New Albany,Central,Office Supplies,Labels,Avery 485,,,,,2015-04-18,4,6,11,45,1
New Albany,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,,,,,2015-04-18,195,56,9,94,0
New Albany,Central,Furniture,Chairs,"Global Leather Task Chair, Black",,,,,2015-04-18,130,51,4,51,0
New York City,East,Office Supplies,Fasteners,Advantus Push Pins,,,,,2016-12-11,19,17,10,69,1
New York City,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,,,,,2016-12-11,40,39,8,65,1
Troy,East,Office Supplies,Storage,Home/Office Personal File Carts,,,,,2016-06-17,147,89,12,91,0
Troy,East,Office Supplies,Paper,Xerox 232,,,,,2016-06-17,58,73,14,21,0
Troy,East,Furniture,Chairs,Novimex Turbo Task Chair,,,,,2016-06-17,74,12,7,26,0
Troy,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",,,,,2016-06-17,177,58,2,78,0
Troy,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,,,,,2016-06-17,72,45,7,45,0
Troy,East,Office Supplies,Binders,Plastic Binding Combs,,,,,2016-06-17,140,16,11,85,0
Troy,East,Office Supplies,Art,Prang Dustless Chalk Sticks,,,,,2016-06-17,3,36,14,97,1
Los Angeles,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",,,,,2015-11-24,41,77,4,56,1
Los Angeles,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",,,,,2015-11-24,170,86,12,57,0
Los Angeles,West,Office Supplies,Paper,Xerox 1943,,,,,2015-11-24,83,18,11,50,0
Los Angeles,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,,,,,2015-11-24,6,98,9,61,1
Chicago,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",,,,,2015-04-30,44,72,4,36,0
Gilbert,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",,,,,2014-12-05,185,98,8,98,0
Gilbert,West,Technology,Phones,netTALK DUO VoIP Telephone Service,,,,,2014-12-05,32,30,8,30,0
Springfield,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",,,,,2016-06-04,49,65,3,44,0
New York City,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,,,,,2016-09-18,152,74,10,83,0
Jackson,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",,,,,2017-09-14,149,4,7,55,0
Memphis,South,Furniture,Chairs,High-Back Leather Manager's Chair,,,,,2015-04-26,42,93,8,93,1
Memphis,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",,,,,2015-04-26,87,0,13,22,0
Memphis,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,,,,,2015-04-26,153,1,3,31,0
Houston,Central,Office Supplies,Binders,Economy Binders,,,,,2017-12-09,133,47,4,96,0
Houston,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",,,,,2017-12-09,28,86,5,87,1
Houston,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",,,,,2017-12-09,46,5,12,41,0
Houston,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",,,,,2014-11-26,69,65,14,87,1
Decatur,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",,,,,2016-06-12,2,43,9,92,1
Decatur,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,,,,,2016-06-12,179,36,7,75,0
San Francisco,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",,,,,2014-10-12,146,63,2,53,0
San Francisco,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",,,,,2014-10-12,6,51,7,86,1
Durham,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,,,,,2015-09-03,107,8,5,39,0
Chicago,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,,,,,2017-11-13,180,60,8,78,0
Columbia,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,,,,,2017-05-28,90,34,14,95,1
Rochester,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,,,,,2017-10-26,149,94,6,57,0
Rochester,Central,Office Supplies,Labels,Avery 511,,,,,2017-10-26,95,43,5,40,0
Houston,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,,,,,2016-04-05,72,88,9,50,0
Los Angeles,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,,,,,2016-09-17,180,14,12,49,0
Los Angeles,West,Technology,Phones,Panasonic Kx-TS550,,,,,2016-09-17,138,0,11,54,0
Los Angeles,West,Office Supplies,Paper,Xerox 1995,,,,,2016-09-17,82,21,11,38,0
Minneapolis,Central,Office Supplies,Paper,Xerox 1999,,,,,2015-01-31,154,47,7,92,0
Minneapolis,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",,,,,2015-01-31,47,82,8,30,0
Minneapolis,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,,,,,2015-01-31,141,78,10,55,0
Portland,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,,,,,2017-11-06,188,44,2,67,0
New York City,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,,,,,2017-11-09,108,24,13,42,0
San Francisco,West,Office Supplies,Binders,Trimflex Flexible Post Binders,,,,,2017-06-17,126,27,14,22,0
Saint Paul,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,,,,,2016-09-06,75,79,4,26,0
Chicago,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,,,,,2016-08-29,54,69,7,75,1
Chicago,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,,,,,2016-08-29,60,4,6,65,1
Chicago,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,,,,,2016-08-29,53,63,5,75,1
Rochester,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),,,,,2016-12-01,187,88,9,69,0
Aurora,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,,,,,2015-11-13,135,40,9,42,0
Aurora,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",,,,,2015-11-13,160,22,12,93,0
Aurora,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",,,,,2015-11-13,11,63,2,90,1
Charlotte,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,,,,,2017-11-23,88,24,12,43,0
Charlotte,South,Technology,Phones,Speck Products Candyshell Flip Case,,,,,2017-11-23,161,24,9,21,0
Charlotte,South,Office Supplies,Art,Newell Chalk Holder,,,,,2017-11-23,144,13,13,37,0
Orland Park,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,,,,,2015-10-15,44,98,10,57,1
New York City,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,,,,,2017-12-25,187,87,5,45,0
Urbandale,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",,,,,2016-11-03,95,96,6,86,0
Urbandale,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",,,,,2016-11-03,114,61,10,26,0
Columbus,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",,,,,2014-08-25,30,4,9,49,1
Columbus,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",,,,,2014-08-25,2,59,2,28,1
Columbus,East,Office Supplies,Paper,Xerox 1921,,,,,2014-08-25,162,97,5,26,0
Columbus,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",,,,,2014-08-25,124,66,3,68,0
Seattle,West,Furniture,Tables,Hon Racetrack Conference Tables,,,,,2015-03-02,97,4,7,39,0
Bristol,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,,,,,2015-04-05,157,7,13,20,0
Wilmington,East,Furniture,Furnishings,Artistic Insta-Plaque,,,,,2016-06-12,60,47,7,89,1
Wilmington,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,,,,,2016-06-12,154,90,3,70,0
Wilmington,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",,,,,2016-06-12,101,60,8,24,0
Wilmington,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,,,,,2016-06-12,75,58,8,51,0
Wilmington,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,,,,,2016-06-12,66,67,6,65,0
Houston,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,,,,,2014-12-26,96,5,13,61,0
Bloomington,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,,,,,2014-09-20,5,81,3,28,1
Phoenix,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",,,,,2017-11-05,95,14,5,70,0
Phoenix,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",,,,,2017-11-05,66,75,8,95,1
Los Angeles,West,Furniture,Chairs,"Global Task Chair, Black",,,,,2016-11-06,151,58,9,59,0
Los Angeles,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,,,,,2016-11-06,146,47,3,81,0
Columbus,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,,,,,2017-02-02,47,91,5,44,0
Columbus,East,Office Supplies,Paper,Xerox 1916,,,,,2017-02-02,43,94,3,76,1
Columbus,East,Office Supplies,Fasteners,Staples,,,,,2017-02-02,186,45,12,45,0
Roseville,West,Office Supplies,Paper,Xerox 195,,,,,2016-10-13,98,30,3,36,0
Roseville,West,Office Supplies,Paper,Xerox 1880,,,,,2016-10-13,110,91,7,45,0
Roseville,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",,,,,2016-10-13,32,10,12,61,1
Roseville,West,Office Supplies,Fasteners,Ideal Clamps,,,,,2016-10-13,31,3,6,67,1
Roseville,West,Office Supplies,Binders,GBC Wire Binding Strips,,,,,2016-10-13,21,30,5,83,1
Roseville,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,,,,,2016-10-13,84,22,7,23,0
Roseville,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,,,,,2016-10-13,129,88,7,76,0
Philadelphia,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,,,,2016-09-05,141,68,11,57,0
San Francisco,West,Office Supplies,Art,Newell 343,,,,,2017-09-18,174,50,10,36,0
San Francisco,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,,,,,2017-09-18,61,72,13,96,1
San Francisco,West,Office Supplies,Paper,Xerox 1911,,,,,2017-09-18,50,67,9,60,1
Independence,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,,,,,2017-12-22,96,16,12,55,0
Pasadena,West,Office Supplies,Storage,Safco Industrial Wire Shelving,,,,,2015-09-07,105,57,2,63,0
Newark,East,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",,,,,2014-10-22,105,49,2,90,0
Franklin,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,,,,,2016-12-05,121,17,13,55,0
Franklin,Central,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,,,,,2016-12-05,68,62,9,49,0
Franklin,Central,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,,,,2016-12-05,74,18,3,73,0
Franklin,Central,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,,,,,2016-12-05,94,60,12,76,0
Scottsdale,West,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,,,,,2016-03-13,179,32,7,97,0
Scottsdale,West,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,,,,,2016-03-13,105,58,14,46,0
San Jose,West,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,,,,,2015-05-31,9,57,10,24,1
San Jose,West,Office Supplies,Paper,Xerox 1883,,,,,2015-05-31,193,6,9,78,0
San Jose,West,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",,,,,2015-05-31,165,95,3,52,0
Seattle,West,Office Supplies,Art,Newell 311,,,,,2015-05-28,75,89,12,27,0
Seattle,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,,,,,2014-03-01,124,69,5,36,0
Edmond,Central,Office Supplies,Labels,Avery 519,,,,,2016-11-20,178,33,13,84,0
Edmond,Central,Technology,Phones,Avaya 5420 Digital phone,,,,,2016-11-20,55,20,11,99,1
Los Angeles,West,Office Supplies,Paper,Xerox 1920,,,,,2016-05-11,67,43,13,40,0
Philadelphia,East,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,,,,,2015-12-28,14,94,13,40,1
Carlsbad,West,Office Supplies,Envelopes,Staple envelope,,,,,2016-11-16,61,3,3,96,1
Seattle,West,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,,,,,2016-11-07,106,25,10,43,0
San Antonio,Central,Office Supplies,Art,BIC Brite Liner Highlighters,,,,,2014-09-08,147,29,5,40,0
San Antonio,Central,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,,,,,2014-09-08,155,9,7,72,0
San Antonio,Central,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,,,,,2014-09-08,79,86,9,33,0
San Antonio,Central,Furniture,Chairs,SAFCO Arco Folding Chair,,,,,2014-09-08,140,76,2,22,0
San Antonio,Central,Office Supplies,Art,Sanford Liquid Accent Highlighters,,,,,2014-09-08,29,10,13,63,1
San Antonio,Central,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,,,,,2014-09-08,148,39,2,28,0
San Antonio,Central,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,,,,,2014-09-08,2,3,3,23,1
Los Angeles,West,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",,,,,2014-08-05,66,57,8,33,0
Los Angeles,West,Office Supplies,Paper,Xerox 1913,,,,,2014-08-05,189,87,3,44,0
Los Angeles,West,Furniture,Chairs,"Global Value Steno Chair, Gray",,,,,2014-08-05,78,75,12,92,1
Chicago,Central,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,,,,,2014-09-14,43,33,10,26,0
Chicago,Central,Office Supplies,Labels,Avery 51,,,,,2014-09-14,82,25,3,28,0
Houston,Central,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",,,,,2017-04-21,165,13,4,37,0
Newark,East,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",,,,,2015-11-21,55,78,11,29,0
Newark,East,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,,,,,2015-11-21,159,94,3,23,0
New York City,East,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",,,,,2015-12-15,18,60,7,77,1
Decatur,Central,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",,,,,2014-12-05,89,99,14,92,1
Decatur,Central,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,,,,,2014-12-05,176,52,8,54,0
Monroe,South,Technology,Phones,AT&T TR1909W,,,,,2014-11-19,9,59,12,85,1
Monroe,South,Technology,Phones,Nokia Lumia 521 (T-Mobile),,,,,2014-11-19,39,60,7,21,0
Monroe,South,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,,,,,2014-11-19,159,1,6,20,0
Fairfield,East,Office Supplies,Binders,Avery Poly Binder Pockets,,,,,2016-11-28,41,10,10,92,1
Los Angeles,West,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,,,,,2014-08-26,45,97,3,85,1
Grand Prairie,Central,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",,,,,2016-07-16,126,70,4,49,0
Grand Prairie,Central,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,,,,,2016-07-16,78,3,4,51,0
New York City,East,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",,,,,2015-10-12,94,98,7,70,0
New York City,East,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,,,,,2015-10-12,111,82,12,32,0
New York City,East,Office Supplies,Paper,Xerox 205,,,,,2015-10-12,13,8,13,41,1
New York City,East,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,,,,2015-10-12,2,36,11,67,1
New York City,East,Office Supplies,Art,4009 Highlighters by Sanford,,,,,2015-10-12,137,30,5,59,0
Redlands,West,Office Supplies,Envelopes,Poly String Tie Envelopes,,,,,2015-10-31,109,23,4,88,0
Hamilton,East,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",,,,,2014-03-21,49,4,10,85,1
Hamilton,East,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",,,,,2014-03-21,135,54,12,21,0
Westfield,East,Office Supplies,Storage,Decoflex Hanging Personal Folder File,,,,,2017-11-06,115,96,7,29,0
Philadelphia,East,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",,,,,2017-07-06,137,54,10,81,0
Philadelphia,East,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",,,,,2017-07-06,47,53,6,24,0
Akron,East,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,,,,,2017-06-24,67,26,12,60,0
Denver,West,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,,,,,2014-08-03,122,68,4,90,0
Denver,West,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",,,,,2014-08-03,190,49,14,62,0
Dallas,Central,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,,,,,2017-12-17,66,47,13,40,0
Franklin,South,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",,,,,2017-06-03,103,39,4,33,0
Whittier,West,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,,,,,2017-12-09,0,52,6,92,1
Saginaw,Central,Office Supplies,Storage,"Tennsco Lockers, Gray",,,,,2017-12-01,183,5,13,39,0
Saginaw,Central,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,,,,,2017-12-01,105,94,11,80,0
Saginaw,Central,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",,,,,2017-12-01,95,26,9,67,0
Saginaw,Central,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",,,,,2017-12-01,65,54,7,47,0
Saginaw,Central,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",,,,,2017-12-01,23,11,5,58,1
Dallas,Central,Technology,Accessories,Memorex Micro Travel Drive 8 GB,,,,,2015-02-09,110,11,2,68,0
Medina,East,Office Supplies,Labels,Avery 505,,,,,2015-01-02,18,8,9,68,1
Medina,East,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,,,,,2015-01-02,164,24,7,31,0
Medina,East,Technology,Phones,Speck Products Candyshell Flip Case,,,,,2015-01-02,85,48,4,74,0
Medina,East,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,,,,,2015-01-02,17,46,4,27,1
Medina,East,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,,,,,2015-01-02,102,12,4,52,0
Los Angeles,West,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",,,,,2016-10-28,137,75,13,54,0
Los Angeles,West,Technology,Phones,Adtran 1202752G1,,,,,2016-10-28,181,67,11,46,0
Dublin,East,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,,,,,2015-12-24,59,9,8,26,0
Dublin,East,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",,,,,2015-12-24,168,7,8,99,0
Dublin,East,Office Supplies,Binders,Ibico Standard Transparent Covers,,,,,2015-12-24,43,98,10,52,1
